script,wake_model,seed,method,turbine_id,x,y,AEP SS bins [GWh],AEP GB bins [GWh],runtime_sec,ss_bin_setup,gb_bin_setup,random_pct
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,62,428304.0,6148112.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,63,428372.0,6147556.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,64,428454.0,6151447.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,65,428522.0,6150891.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,66,428591.0,6150335.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,67,428659.0,6149779.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,68,428727.0,6149224.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,69,428795.0,6148668.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,70,428864.0,6148112.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,71,428932.0,6147556.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,72,429014.0,6151447.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,73,429082.0,6150891.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,74,429151.0,6150335.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,75,429219.0,6149779.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,76,429287.0,6149224.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
RunSS_GB_FullBins,NOJ,1,Current Horns Rev,77,429355.0,6148668.0,701.8653557500002,701.8653557500002,0.0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1,10
