batch,summary_file,script,source_script,source_method,layout_method,source_opt_bin_label,wake_model,seed,method,run_type,aep_gwh,gain_gwh,runtime_min,iterations,gb_bin_setup,ss_bin_setup
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS,RS,5 deg bins,NOJ,5,RS,baseline,715.1210552750379,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,1,RS--2S,baseline,715.2059035295349,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,2,RS--2S,baseline,715.0286888365631,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,3,RS--2S,baseline,715.4938251155713,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,4,RS--2S,baseline,715.5481589882329,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsRS,RS--2S,RS--2S,5 deg bins,NOJ,5,RS--2S,baseline,715.2918760697996,0.0,0.0,0,wd1deg_ws3-25_step1,
01_SS_GB_FullBins,ss_gb_fullbins_summary_20260523_031110.csv,RunSS_GB_FullBins,,,,,NOJ,1,SS,baseline,712.5999260931526,0.0,2.309940039999007,0,wd1deg_ws3-25_step1,wd1deg_ws3-25_step1
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,1,SS,baseline,712.5999260931527,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,2,SS,baseline,712.4610690302246,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,3,SS,baseline,712.3267720782876,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,4,SS,baseline,712.036728916994,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS,SmartStart,5 deg bins,NOJ,5,SS,baseline,712.3272656645681,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,1,SS--2S,baseline,714.8891257167484,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,2,SS--2S,baseline,714.8069940713654,0.0,0.0,0,wd1deg_ws3-25_step1,
02_BestSS2S_GB_FullBins,best_ss2s_gb_fullbins_summary_20260523_043420.csv,RunBestSS2S_GB_FullBins,ResultsSS,,,5 deg bins,NOJ,3,SS--2S,baseline,714.9942065854406,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,3,SS--2S,baseline,714.9942065854406,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,4,SS--2S,baseline,714.6826359487975,0.0,0.0,0,wd1deg_ws3-25_step1,
03_SourceLayouts_GB_FullBins,source_layouts_gb_fullbins_summary_20260523_054538.csv,RunSourceLayouts_GB_FullBins,ResultsSS,SS--2S,SS--2S,5 deg bins,NOJ,5,SS--2S,baseline,714.8439713195792,0.0,0.0,0,wd1deg_ws3-25_step1,
