script,source_script,source_opt_bin_label,source_method,layout_method,wake_model,seed,source_highres_AEP [GWh],gb_bin_setup,run_name,iteration,phase,AEP [GWh],elapsed_sec,aep_bin_source
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,61,Gradient,714.6323823013615,1743.4963362183983,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,62,Gradient,714.6366648975031,1772.0782433695194,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,63,Gradient,714.6367912499084,1800.6601505206409,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,64,Gradient,714.6359090493014,1829.242057671762,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,65,Gradient,714.6368268689926,1857.8239648228832,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,66,Gradient,714.6368307338005,1886.4058719740046,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,67,Gradient,714.6368263977033,1914.9877791251258,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,68,Gradient,714.6368377482529,1943.5696862762472,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,69,Gradient,714.6368449512039,1972.1515934273684,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,70,Gradient,714.6368948871012,2000.7335005784898,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,71,Gradient,714.637066380657,2029.315407729611,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,72,Gradient,714.6375771042538,2057.897314880732,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,73,Gradient,714.6379592037329,2086.4792220318536,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,74,Gradient,714.6390525212897,2115.061129182975,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,75,Gradient,714.6406459303641,2143.643036334096,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,76,Gradient,714.6470582604059,2172.2249434852174,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,77,Gradient,714.6544595520447,2200.806850636339,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,78,Gradient,714.6572934592795,2229.38875778746,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,79,Gradient,714.6698788887709,2257.970664938581,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,80,Gradient,714.7103778388978,2286.5525720897026,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,81,Gradient,714.7603834877239,2315.134479240824,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,82,Gradient,714.7661603868112,2343.716386391945,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,83,Gradient,714.766796805663,2372.2982935430664,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,84,Gradient,714.765597566462,2400.880200694188,GB bins
RunSourceLayouts_GB_FullBins,ResultsSS,5 deg bins,SS,SmartStart,NOJ,1,712.5999260931527,wd1deg_ws3-25_step1,ResultsSS_SS_GB_seed1,85,Gradient,714.7671080284257,2429.4621078453088,GB bins
