script,wake_model,seed,method,turbine_id,x,y,AEP [GWh],Surrogate AEP [GWh],runtime_sec,wd_step_deg,n_wd,ws,random_pct
ResultsSS,NOJ,1,SmartStart,18,425901.6842105263,6151847.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,19,425901.6842105263,6149131.157894737,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,20,425236.63157894736,6147896.684210527,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,21,426899.2631578947,6147156.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,22,423574.0,6151353.2105263155,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,23,429559.4736842105,6151353.2105263155,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,24,425901.6842105263,6151353.2105263155,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,25,429226.94736842107,6151847.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,26,423906.5263157895,6148390.47368421,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,27,423574.0,6148143.578947368,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,28,429892.0,6147649.7894736845,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,29,429892.0,6149378.052631579,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,30,424904.1052631579,6147402.894736842,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,31,427231.7894736842,6151847.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,32,425569.15789473685,6150859.421052632,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,33,429892.0,6150118.736842105,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,34,424571.5789473684,6150365.631578947,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
