seed,spacing_D,iteration,AEP [GWh]
3,4,71,64.72436975935659
3,4,72,65.56189411395955
3,4,73,66.39009333837487
3,4,74,67.23367311566432
3,4,75,68.04511076313213
3,4,76,68.8640253771975
3,4,77,69.67218066335023
3,4,78,70.51197352835118
3,4,79,71.33134727197204
3,4,80,72.17155513263042
3,5,1,0.9852548472611584
3,5,2,1.9700177506832275
3,5,3,2.9541780993981113
3,5,4,3.93718403839975
3,5,5,4.917308780177743
3,5,6,5.896365309172612
3,5,7,6.874204543196397
3,5,8,7.8477599383033825
3,5,9,8.820651191698007
3,5,10,9.793598942172043
3,5,11,10.76285762995529
3,5,12,11.725924099425963
3,5,13,12.680987095263308
3,5,14,13.635826399880088
3,5,15,14.58937781922782
3,5,16,15.545426457755013
3,5,17,16.507595843949503
3,5,18,17.458929014338654
3,5,19,18.39334303555779
3,5,20,19.335600173062787
3,5,21,20.28726043003038
3,5,22,21.220286372187505
3,5,23,22.176752380553975
3,5,24,23.114040625689974
3,5,25,24.044653778666138
3,5,26,24.9708302214432
3,5,27,25.91370242910913
3,5,28,26.83799793939781
3,5,29,27.76889758600541
3,5,30,28.716788958879036
3,5,31,29.644536958319758
3,5,32,30.576937891493962
3,5,33,31.508198899759382
3,5,34,32.42546493234233
3,5,35,33.332655548110345
3,5,36,34.24967937323896
3,5,37,35.16174682202611
3,5,38,36.10242379374421
3,5,39,37.003933784444676
3,5,40,37.918329807129396
3,5,41,38.81388093894883
3,5,42,39.733481303968965
3,5,43,40.59498215742488
3,5,44,41.513020288357055
3,5,45,42.407210730925584
3,5,46,43.288122273463074
3,5,47,44.19232989326309
3,5,48,45.079446496462865
3,5,49,45.96167454634934
3,5,50,46.84535094482895
3,5,51,47.71919067934907
3,5,52,48.584275258075124
3,5,53,49.46665660084288
3,5,54,50.349707383258405
3,5,55,51.23050023631463
3,5,56,52.10136302251031
3,5,57,52.97877551860568
3,5,58,53.84518997190925
3,5,59,54.70947052718354
3,5,60,55.567273234401625
3,5,61,56.3956998492303
3,5,62,57.231881335556096
3,5,63,58.06576641340868
3,5,64,58.94162809910668
3,5,65,59.78446258870687
3,5,66,60.62048425518276
3,5,67,61.46516954173798
3,5,68,62.30887139675758
3,5,69,63.1488976722308
3,5,70,63.98856766980575
3,5,71,64.83140110111893
3,5,72,65.6654477161627
3,5,73,66.51406478311186
3,5,74,67.33959473733805
3,5,75,68.16468855983517
3,5,76,69.00042855215563
3,5,77,69.84084152477088
3,5,78,70.69109279704011
3,5,79,71.52079322688135
3,5,80,72.3507002178379
