script,wake_model,seed,method,AEP [GWh],Surrogate AEP [GWh],Improvement over Horns Rev [GWh],runtime_sec,iterations,wd_step_deg,n_wd,ws,source_file,opt_bin_label,random_step_schedule_D,plot_AEP [GWh],Optimization AEP [GWh],Fine AEP [GWh],eval_wd_step_deg,eval_n_wd,eval_ws_step,eval_ws_min,eval_ws_max,Fine minus Optimization AEP [GWh]
ResultsSS,NOJ,3,SS--2S--GB,714.99420658544,72.62882984767117,13.128850835439836,22034.0751052,2720,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,714.9942065854406,72.62882984767117,714.9942065854406,1,360,1,3,25,642.3653767377693
ResultsSS,NOJ,4,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,4,SS,712.0367289169942,72.03257352447444,10.171373166994044,148.5304927000543,0,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,712.036728916994,72.03257352447444,712.036728916994,1,360,1,3,25,640.0041553925196
ResultsSS,NOJ,4,SS--2S,714.6826359487981,72.58314841801452,12.817280198797905,14874.05169600004,400,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,714.6826359487975,72.58314841801452,714.6826359487975,1,360,1,3,25,642.099487530783
ResultsSS,NOJ,4,SS--GB,712.0367289169942,72.03257352447444,10.171373166994044,156.61965270002838,2000,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,712.036728916994,72.03257352447444,712.036728916994,1,360,1,3,25,640.0041553925196
ResultsSS,NOJ,4,SS--2S--GB,714.6826359487981,72.58314841801452,12.817280198797905,14880.538580200053,2400,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,714.6826359487975,72.58314841801452,714.6826359487975,1,360,1,3,25,642.099487530783
ResultsSS,NOJ,5,Current Horns Rev,701.8653557500002,70.00978952706822,0.0,0.0,0,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,701.8653557500002,701.8653557500002,701.8653557500002,1,360,1,3,25,0.0
ResultsSS,NOJ,5,SS,712.3272656645684,72.09283859113029,10.461909914568196,156.50538350001443,0,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,712.3272656645681,72.09283859113029,712.3272656645681,1,360,1,3,25,640.2344270734378
ResultsSS,NOJ,5,SS--2S,714.8439713195794,72.61645666504026,12.978615569579231,26169.561801000036,640,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,714.8439713195792,72.61645666504026,714.8439713195792,1,360,1,3,25,642.2275146545389
ResultsSS,NOJ,5,SS--GB,712.3272656645684,72.09283859113029,10.461909914568196,160.7387788000633,2000,5,72,9.6,results_ss_summary_wd5deg_20260519_113744.csv,5 deg bins,,712.3272656645681,72.09283859113029,712.3272656645681,1,360,1,3,25,640.2344270734378
