wake_model,seed,gradient_iterations,method,AEP [GWh],Improvement over Horns Rev [GWh],Improvement over SmartStart [GWh],runtime_sec,recorded_gradient_iterations,smartstart_seed,smartstart_random_pct,row_type,run_name,script,gradient_iterations_setting,iteration,phase,elapsed_sec,timing_source
NOJ,1,,,72.2829302872079,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,8.0,Gradient,11.82263184905509,interpolated_from_total_runtime
NOJ,1,,,72.30446733243649,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,9.0,Gradient,13.300460830186976,interpolated_from_total_runtime
NOJ,1,,,72.38866092282379,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,10.0,Gradient,14.778289811318864,interpolated_from_total_runtime
NOJ,1,,,72.42876175918255,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,11.0,Gradient,16.25611879245075,interpolated_from_total_runtime
NOJ,1,,,72.43694819336793,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,12.0,Gradient,17.733947773582635,interpolated_from_total_runtime
NOJ,1,,,72.43771076401728,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,13.0,Gradient,19.21177675471452,interpolated_from_total_runtime
NOJ,1,,,72.43777091433113,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,14.0,Gradient,20.68960573584641,interpolated_from_total_runtime
NOJ,1,,,72.43778297343553,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,15.0,Gradient,22.167434716978295,interpolated_from_total_runtime
NOJ,1,,,72.43778175886735,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,16.0,Gradient,23.64526369811018,interpolated_from_total_runtime
NOJ,1,,,72.43778431018347,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,17.0,Gradient,25.123092679242067,interpolated_from_total_runtime
NOJ,1,,,72.43779012334295,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,18.0,Gradient,26.600921660373952,interpolated_from_total_runtime
NOJ,1,,,72.43782272090701,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,19.0,Gradient,28.07875064150584,interpolated_from_total_runtime
NOJ,1,,,72.43798796945254,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,20.0,Gradient,29.556579622637727,interpolated_from_total_runtime
NOJ,1,,,72.43881496113116,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,21.0,Gradient,31.034408603769613,interpolated_from_total_runtime
NOJ,1,,,72.44090631457028,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,22.0,Gradient,32.5122375849015,interpolated_from_total_runtime
NOJ,1,,,72.44336818378643,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,23.0,Gradient,33.990066566033384,interpolated_from_total_runtime
NOJ,1,,,72.45545419810401,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,24.0,Gradient,35.46789554716527,interpolated_from_total_runtime
NOJ,1,,,72.50975736196713,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,25.0,Gradient,36.945724528297156,interpolated_from_total_runtime
NOJ,1,,,72.55652538264476,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,26.0,Gradient,38.42355350942904,interpolated_from_total_runtime
NOJ,1,,,72.5604675782198,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,27.0,Gradient,39.901382490560934,interpolated_from_total_runtime
NOJ,1,,,72.56055973711065,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,28.0,Gradient,41.37921147169282,interpolated_from_total_runtime
NOJ,1,,,72.56059331554212,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,29.0,Gradient,42.857040452824705,interpolated_from_total_runtime
NOJ,1,,,72.56078217107182,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,30.0,Gradient,44.33486943395659,interpolated_from_total_runtime
NOJ,1,,,72.56168680792618,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,31.0,Gradient,45.81269841508848,interpolated_from_total_runtime
NOJ,1,,,72.56471341380404,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,32.0,Gradient,47.29052739622036,interpolated_from_total_runtime
NOJ,1,,,72.56602652503699,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,33.0,Gradient,48.76835637735225,interpolated_from_total_runtime
NOJ,1,,,72.56603659417456,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,34.0,Gradient,50.246185358484134,interpolated_from_total_runtime
NOJ,1,,,72.56608960501119,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,35.0,Gradient,51.72401433961602,interpolated_from_total_runtime
NOJ,1,,,72.56629141138515,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,36.0,Gradient,53.201843320747905,interpolated_from_total_runtime
NOJ,1,,,72.56648499460803,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,37.0,Gradient,54.67967230187979,interpolated_from_total_runtime
NOJ,1,,,72.56651675493076,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,38.0,Gradient,56.15750128301168,interpolated_from_total_runtime
NOJ,1,,,72.5665741172429,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,39.0,Gradient,57.63533026414357,interpolated_from_total_runtime
NOJ,1,,,72.56680750575742,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,40.0,Gradient,59.113159245275455,interpolated_from_total_runtime
NOJ,1,,,72.56717398688302,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,41.0,Gradient,60.59098822640734,interpolated_from_total_runtime
NOJ,1,,,72.56886416348846,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,42.0,Gradient,62.068817207539226,interpolated_from_total_runtime
NOJ,1,,,72.57393186289562,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,43.0,Gradient,63.54664618867111,interpolated_from_total_runtime
NOJ,1,,,72.57442541704577,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,44.0,Gradient,65.024475169803,interpolated_from_total_runtime
NOJ,1,,,72.57445255355414,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,45.0,Gradient,66.50230415093489,interpolated_from_total_runtime
NOJ,1,,,72.57446537830634,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,46.0,Gradient,67.98013313206677,interpolated_from_total_runtime
NOJ,1,,,72.57449041226911,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,47.0,Gradient,69.45796211319866,interpolated_from_total_runtime
NOJ,1,,,72.57457599690937,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,48.0,Gradient,70.93579109433054,interpolated_from_total_runtime
NOJ,1,,,72.57480330701812,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,49.0,Gradient,72.41362007546243,interpolated_from_total_runtime
NOJ,1,,,72.57514798403417,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,50.0,Gradient,73.89144905659431,interpolated_from_total_runtime
NOJ,1,,,72.5762536765343,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,51.0,Gradient,75.3692780377262,interpolated_from_total_runtime
NOJ,1,,,72.57884108860195,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,52.0,Gradient,76.84710701885808,interpolated_from_total_runtime
NOJ,1,,,72.59486657939362,,,,,1,10,history,gradient_iterations_50_seed1,RunSS_Gradient_Iterations,50.0,53.0,Gradient,78.32493599998998,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,0.0,Gradient,0.0,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,1.0,Gradient,1.474853020560684,interpolated_from_total_runtime
NOJ,1,,,72.27765953724,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,2.0,Gradient,2.949706041121368,interpolated_from_total_runtime
NOJ,1,,,72.27766088101683,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,3.0,Gradient,4.424559061682052,interpolated_from_total_runtime
NOJ,1,,,72.27766759994928,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,4.0,Gradient,5.899412082242736,interpolated_from_total_runtime
NOJ,1,,,72.27770119568973,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,5.0,Gradient,7.37426510280342,interpolated_from_total_runtime
NOJ,1,,,72.27786920120982,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,6.0,Gradient,8.849118123364104,interpolated_from_total_runtime
NOJ,1,,,72.27870986326505,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,7.0,Gradient,10.323971143924789,interpolated_from_total_runtime
NOJ,1,,,72.2829302872079,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,8.0,Gradient,11.798824164485472,interpolated_from_total_runtime
NOJ,1,,,72.30446733243649,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,9.0,Gradient,13.273677185046155,interpolated_from_total_runtime
NOJ,1,,,72.38866092282379,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,10.0,Gradient,14.74853020560684,interpolated_from_total_runtime
NOJ,1,,,72.42876175918255,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,11.0,Gradient,16.223383226167524,interpolated_from_total_runtime
NOJ,1,,,72.43694819336793,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,12.0,Gradient,17.698236246728207,interpolated_from_total_runtime
NOJ,1,,,72.43771076401728,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,13.0,Gradient,19.17308926728889,interpolated_from_total_runtime
NOJ,1,,,72.43777091433113,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,14.0,Gradient,20.647942287849578,interpolated_from_total_runtime
NOJ,1,,,72.43778297343553,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,15.0,Gradient,22.12279530841026,interpolated_from_total_runtime
NOJ,1,,,72.43778175886735,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,16.0,Gradient,23.597648328970944,interpolated_from_total_runtime
NOJ,1,,,72.43778431018347,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,17.0,Gradient,25.072501349531628,interpolated_from_total_runtime
NOJ,1,,,72.43779012334295,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,18.0,Gradient,26.54735437009231,interpolated_from_total_runtime
NOJ,1,,,72.43782272090701,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,19.0,Gradient,28.022207390652998,interpolated_from_total_runtime
NOJ,1,,,72.43798796945254,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,20.0,Gradient,29.49706041121368,interpolated_from_total_runtime
NOJ,1,,,72.43881496113116,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,21.0,Gradient,30.971913431774365,interpolated_from_total_runtime
NOJ,1,,,72.44090631457028,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,22.0,Gradient,32.44676645233505,interpolated_from_total_runtime
NOJ,1,,,72.44336818378643,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,23.0,Gradient,33.921619472895735,interpolated_from_total_runtime
NOJ,1,,,72.45545419810401,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,24.0,Gradient,35.396472493456415,interpolated_from_total_runtime
NOJ,1,,,72.50975736196713,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,25.0,Gradient,36.8713255140171,interpolated_from_total_runtime
NOJ,1,,,72.55652538264476,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,26.0,Gradient,38.34617853457778,interpolated_from_total_runtime
NOJ,1,,,72.5604675782198,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,27.0,Gradient,39.82103155513847,interpolated_from_total_runtime
NOJ,1,,,72.56055973711065,,,,,1,10,history,gradient_iterations_100_seed1,RunSS_Gradient_Iterations,100.0,28.0,Gradient,41.295884575699155,interpolated_from_total_runtime
